Id,Catégorie,Description,Energ_Kcal
128,Desserts,Strawberry Triple Thick™ Shake (12 fl oz cup),420
129,Desserts,Strawberry Triple Thick™ Shake (16 fl oz cup),560
130,Desserts,Strawberry Triple Thick™ Shake (21 fl oz cup),730
131,Desserts,Strawberry Triple Thick™ Shake (32 fl oz cup),1120
132,Frites,Super Size  Frites,610
133,Croquettes,Sweet 'N Sour Sauce,50
134,Desserts,Vanilla Reduced Fat Ice Cream Cone,150
135,Desserts,Vanilla Triple Thick™ Shake (12 fl oz cup),430
136,Desserts,Vanilla Triple Thick™ Shake (16 fl oz cup),570
137,Desserts,Vanilla Triple Thick™ Shake (21 fl oz cup),750
138,Desserts,Vanilla Triple Thick™ Shake (32 fl oz cup),1140
